,Unnamed: 0,sample_1000_20,qpu_access_time_1000_20,optimal
0,0,"{'y00': 1, 'y01': 0, 'y10': 0, 'y11': 0, 'y20': 1, 'y21': 1}",111346.37,Y
1,1,"{'y00': 1, 'y01': 0, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 0, 'y22': 1}",103425.97,Y
2,2,"{'y00': 1, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 1, 'y12': 0, 'y20': 1, 'y21': 1, 'y22': 1}",110865.97,Y
3,3,"{'y00': 0, 'y01': 1, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 1}",105226.37,Y
4,4,"{'y00': 0, 'y01': 1, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 1}",108466.77,Y
5,5,"{'y00': 0, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 1, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 1}",94506.37,Y
6,6,"{'y00': 1, 'y01': 0, 'y10': 0, 'y11': 0, 'y20': 1, 'y21': 0, 'y30': 1, 'y31': 0}",111006.37,Y
7,7,"{'y00': 1, 'y01': 0, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 1, 'y32': 0}",109807.17,Y
8,8,"{'y00': 1, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 1, 'y12': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 1}",100885.97,Y
9,9,"{'y00': 0, 'y01': 1, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 0}",149366.37,Y
10,10,"{'y00': 0, 'y01': 1, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y30': 1, 'y31': 1, 'y32': 0}",101265.97,Y
11,11,"{'y00': 0, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 1, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 1, 'y33': 0}",117465.97,N
12,12,"{'y00': 0, 'y01': 0, 'y10': 0, 'y11': 0, 'y20': 1, 'y21': 0, 'y30': 0, 'y31': 1}",98826.37,Y
13,13,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y30': 0, 'y31': 0, 'y32': 1}",109546.37,Y
14,14,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 1, 'y22': 0, 'y30': 0, 'y31': 1, 'y32': 1}",106086.37,Y
15,15,"{'y00': 1, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 1, 'y32': 0}",103086.37,Y
16,16,"{'y00': 1, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 1}",114226.77,Y
17,17,"{'y00': 1, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 1, 'y21': 1, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 1, 'y32': 1, 'y33': 0}",118306.37,Y
18,18,"{'y00': 0, 'y01': 0, 'y10': 0, 'y11': 0, 'y20': 0, 'y21': 0, 'y30': 1, 'y31': 0, 'y40': 1, 'y41': 0}",112286.77,Y
19,19,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 1, 'y32': 0, 'y40': 1, 'y41': 1, 'y42': 0}",99585.97,Y
