,graph,a,d,weights,runtime,optimal
0,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,1.0,"{(0, 2): 2.0, (0, 3): 1.0, (1, 3): 4.0}",12435.999999979686,Y
1,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,2.0,"{(0, 2): 2.0, (0, 3): 2.0, (1, 3): 6.0}",9253.999999941698,Y
2,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,3.0,"{(0, 2): 2.0, (0, 3): 3.0, (1, 3): 8.0}",8309.000000053857,Y
3,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,1.0,"{(0, 2): 3.0, (0, 3): 1.0, (1, 3): 5.0}",8626.000000049316,Y
4,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,2.0,"{(0, 2): 3.0, (0, 3): 2.0, (1, 3): 7.0}",7216.999999968721,Y
5,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,3.0,"{(0, 2): 3.0, (0, 3): 3.0, (1, 3): 9.0}",7986.999999957334,Y
6,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",2.0,1.0,"{(0, 2): 2.0, (0, 3): 1.0, (1, 3): 2.0, (2, 3): 2.0}",6916.000000046552,Y
7,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",2.0,2.0,"{(0, 2): 2.0, (0, 3): 2.0, (1, 3): 2.0, (2, 3): 4.0}",6733.000000053835,Y
8,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",2.0,3.0,"{(0, 2): 2.0, (0, 3): 3.0, (1, 3): 2.0, (2, 3): 6.0}",6059.999999934007,Y
9,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",3.0,1.0,"{(0, 2): 3.0, (0, 3): 1.0, (1, 3): 3.0, (2, 3): 2.0}",5945.999999994456,Y
10,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",3.0,2.0,"{(0, 2): 3.0, (0, 3): 2.0, (1, 3): 3.0, (2, 3): 4.0}",6083.9999999871,Y
11,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",3.0,3.0,"{(0, 2): 3.0, (0, 3): 3.0, (1, 3): 3.0, (2, 3): 6.0}",5673.000000001593,Y
12,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",2.0,1.0,"{(0, 2): 1.0, (0, 3): 1.0, (1, 2): 2.0, (1, 3): 3.0}",4263.000000037209,Y
13,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",2.0,2.0,"{(0, 2): 1.0, (0, 3): 1.0, (1, 2): 3.0, (1, 3): 5.0}",4265.00000003216,Y
14,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",2.0,3.0,"{(0, 2): 1.0, (0, 3): 1.0, (1, 2): 4.0, (1, 3): 7.0}",4216.999999925974,Y
15,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",3.0,1.0,"{(0, 2): 1.0, (0, 3): 2.0, (1, 2): 3.0, (1, 3): 3.0}",4209.999999943648,Y
16,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",3.0,2.0,"{(0, 2): 1.0, (0, 3): 2.0, (1, 2): 4.0, (1, 3): 5.0}",4207.999999948697,Y
17,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",3.0,3.0,"{(0, 2): 1.0, (0, 3): 2.0, (1, 2): 5.0, (1, 3): 7.0}",4090.000000019245,Y
18,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",2.0,1.0,"{(0, 2): 1.0, (0, 3): 1.0, (1, 2): 1.0, (1, 3): 2.0, (2, 3): 2.0}",1655.0000000279397,Y
19,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",2.0,2.0,"{(0, 2): 1.0, (0, 3): 1.0, (1, 2): 1.0, (1, 3): 3.0, (2, 3): 4.0}",1593.9999999545762,Y
20,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",2.0,3.0,"{(0, 2): 1.0, (0, 3): 1.0, (1, 2): 1.0, (1, 3): 4.0, (2, 3): 6.0}",1630.0000000910586,Y
21,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,1.0,"{(0, 2): 2.0, (0, 3): 1.0, (1, 2): 1.0, (1, 3): 3.0, (2, 3): 2.0}",1604.0000000430155,Y
22,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,2.0,"{(0, 2): 2.0, (0, 3): 1.0, (1, 2): 1.0, (1, 3): 4.0, (2, 3): 4.0}",1586.9999999722495,Y
23,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,3.0,"{(0, 2): 2.0, (0, 3): 1.0, (1, 2): 1.0, (1, 3): 5.0, (2, 3): 6.0}",1542.999999969652,Y
24,"[[0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,1.0,"{(0, 1): 1.0, (0, 2): 1.0, (0, 3): 1.0, (1, 2): 1.0, (1, 3): 2.0, (2, 3): 3.0}",1605.0000000404907,Y
25,"[[0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,2.0,"{(0, 1): 1.0, (0, 2): 1.0, (0, 3): 1.0, (1, 2): 1.0, (1, 3): 3.0, (2, 3): 5.0}",1616.0000000127184,Y
26,"[[0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,3.0,"{(0, 1): 1.0, (0, 2): 1.0, (0, 3): 1.0, (1, 2): 1.0, (1, 3): 4.0, (2, 3): 7.0}",1593.9999999545762,Y
