index,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
0,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,1.0,Y,"{0: 5, 1: 2, 2: 3, 3: 4}","{(0, 2): 3, (0, 3): 2, (1, 3): 2}",286.102294921875,3.0,4.0,6.0
1,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,2.0,Y,"{0: 8, 1: 2, 2: 4, 3: 6}","{(0, 2): 4, (0, 3): 4, (1, 3): 2}",483.0360412597656,3.0,4.0,6.0
2,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,3.0,Y,"{0: 11, 1: 2, 2: 5, 3: 8}","{(0, 2): 5, (0, 3): 6, (1, 3): 2}",79.15496826171875,3.0,4.0,6.0
3,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,1.0,Y,"{0: 6, 1: 3, 2: 4, 3: 5}","{(0, 2): 4, (0, 3): 2, (1, 3): 3}",164.98565673828125,3.0,4.0,6.0
4,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,2.0,Y,"{0: 7, 1: 5, 2: 3, 3: 9}","{(0, 2): 3, (0, 3): 4, (1, 3): 5}",76.77078247070312,3.0,4.0,6.0
5,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,3.0,Y,"{0: 6, 1: 9, 2: 3, 3: 12}","{(0, 2): 3, (0, 3): 3, (1, 3): 9}",70.09506225585938,3.0,4.0,6.0
6,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",2.0,1.0,Y,"{0: 4, 1: 2, 2: 3, 3: 5}","{(0, 2): 2, (0, 3): 2, (1, 3): 2, (2, 3): 1}",367.87986755371094,4.0,4.0,8.0
7,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",2.0,2.0,Y,"{0: 4, 1: 2, 2: 6, 3: 8}","{(0, 2): 2, (0, 3): 2, (1, 3): 2, (2, 3): 4}",267.02880859375,4.0,4.0,8.0
8,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",2.0,3.0,Y,"{0: 8, 1: 2, 2: 5, 3: 11}","{(0, 2): 2, (0, 3): 6, (1, 3): 2, (2, 3): 3}",198.84109497070312,4.0,4.0,8.0
9,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",3.0,1.0,Y,"{0: 4, 1: 3, 2: 5, 3: 6}","{(0, 2): 3, (0, 3): 1, (1, 3): 3, (2, 3): 2}",144.95849609375,4.0,4.0,8.0
10,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",3.0,2.0,Y,"{0: 5, 1: 3, 2: 7, 3: 9}","{(0, 2): 3, (0, 3): 2, (1, 3): 3, (2, 3): 4}",240.08750915527344,4.0,4.0,8.0
11,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",3.0,3.0,Y,"{0: 9, 1: 3, 2: 6, 3: 12}","{(0, 2): 3, (0, 3): 6, (1, 3): 3, (2, 3): 3}",78.91654968261719,4.0,4.0,8.0
12,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",2.0,1.0,Y,"{0: 4, 1: 3, 2: 2, 3: 5}","{(0, 2): 1, (0, 3): 3, (1, 2): 1, (1, 3): 2}",241.0411834716797,4.0,4.0,8.0
13,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",2.0,2.0,Y,"{0: 8, 1: 2, 2: 6, 3: 4}","{(0, 2): 5, (0, 3): 3, (1, 2): 1, (1, 3): 1}",196.93374633789062,4.0,4.0,8.0
14,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",2.0,3.0,Y,"{0: 5, 1: 8, 2: 11, 3: 2}","{(0, 2): 4, (0, 3): 1, (1, 2): 7, (1, 3): 1}",82.0159912109375,4.0,4.0,8.0
15,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",3.0,1.0,Y,"{0: 6, 1: 3, 2: 5, 3: 4}","{(0, 2): 3, (0, 3): 3, (1, 2): 2, (1, 3): 1}",270.1282501220703,4.0,4.0,8.0
16,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",3.0,2.0,Y,"{0: 3, 1: 9, 2: 7, 3: 5}","{(0, 2): 1, (0, 3): 2, (1, 2): 6, (1, 3): 3}",166.89300537109375,4.0,4.0,8.0
17,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",3.0,3.0,Y,"{0: 6, 1: 9, 2: 3, 3: 12}","{(0, 2): 1, (0, 3): 5, (1, 2): 2, (1, 3): 7}",92.98324584960938,4.0,4.0,8.0
18,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",2.0,1.0,Y,"{0: 2, 1: 3, 2: 4, 3: 5}","{(0, 2): 1, (0, 3): 1, (1, 2): 1, (1, 3): 2, (2, 3): 2}",194.07272338867188,5.0,4.0,10.0
19,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",2.0,2.0,Y,"{0: 6, 1: 2, 2: 4, 3: 8}","{(0, 2): 1, (0, 3): 5, (1, 2): 1, (1, 3): 1, (2, 3): 2}",89.88380432128906,5.0,4.0,10.0
20,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",2.0,3.0,Y,"{0: 8, 1: 2, 2: 5, 3: 11}","{(0, 2): 1, (0, 3): 7, (1, 2): 1, (1, 3): 1, (2, 3): 3}",249.1474151611328,5.0,4.0,10.0
21,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,1.0,Y,"{0: 3, 1: 5, 2: 6, 3: 4}","{(0, 2): 1, (0, 3): 2, (1, 2): 4, (1, 3): 1, (2, 3): 1}",161.88621520996094,5.0,4.0,10.0
22,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,2.0,Y,"{0: 7, 1: 3, 2: 9, 3: 5}","{(0, 2): 5, (0, 3): 2, (1, 2): 2, (1, 3): 1, (2, 3): 2}",185.0128173828125,5.0,4.0,10.0
23,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,3.0,Y,"{0: 9, 1: 3, 2: 6, 3: 12}","{(0, 2): 2, (0, 3): 7, (1, 2): 1, (1, 3): 2, (2, 3): 3}",144.00482177734375,5.0,4.0,10.0
24,"[[0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,1.0,Y,"{0: 5, 1: 4, 2: 6, 3: 3}","{(0, 1): 1, (0, 2): 3, (0, 3): 1, (1, 2): 2, (1, 3): 1, (2, 3): 1}",134.94491577148438,6.0,4.0,12.0
25,"[[0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,2.0,Y,"{0: 7, 1: 9, 2: 5, 3: 3}","{(0, 1): 5, (0, 2): 1, (0, 3): 1, (1, 2): 3, (1, 3): 1, (2, 3): 1}",195.02639770507812,6.0,4.0,12.0
26,"[[0, 1, 1, 1], [1, 0, 1, 1], [1, 1, 0, 1], [1, 1, 1, 0]]",3.0,3.0,Y,"{0: 6, 1: 12, 2: 9, 3: 3}","{(0, 1): 4, (0, 2): 1, (0, 3): 1, (1, 2): 7, (1, 3): 1, (2, 3): 1}",139.9517059326172,6.0,4.0,12.0
