,graph_num,graph,a,d,weights,runtime,optimal
0,0,"[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0]]",3.0,2.0,"{(0, 4): 2.0, (0, 5): 1.0, (1, 4): 9.0, (2, 5): 5.0, (3, 5): 7.0}",60157.00000000379,Y
1,5,"[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",2.0,2.0,"{(0, 4): 1.0, (0, 5): 1.0, (1, 4): 2.0, (1, 5): 2.0, (2, 4): 6.0, (3, 5): 8.0, (4, 5): 1.0}",2421.9999999104402,Y
2,21,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",3.0,2.0,"{(0, 3): 2.0, (0, 5): 1.0, (1, 4): 2.0, (1, 5): 3.0, (2, 4): 7.0, (3, 5): 7.0, (4, 5): 2.0}",2261.0000000895525,Y
3,23,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",3.0,2.0,"{(0, 3): 3.0, (0, 5): 2.0, (1, 4): 6.0, (1, 5): 1.0, (2, 4): 2.0, (2, 5): 7.0, (4, 5): 3.0}",127258.99999998091,Y
4,35,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 1, 0]]",3.0,2.0,"{(0, 3): 3.0, (0, 4): 1.0, (0, 5): 1.0, (1, 4): 7.0, (2, 5): 9.0, (4, 5): 3.0}",117941.9999999709,Y
5,40,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,2.0,"{(0, 3): 1.0, (0, 4): 1.0, (0, 5): 2.0, (1, 4): 7.0, (1, 5): 1.0, (2, 5): 2.0, (3, 5): 5.0, (4, 5): 2.0}",152253.9999999708,Y
6,41,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,2.0,"{(0, 3): 1.0, (0, 4): 2.0, (0, 5): 2.0, (1, 4): 8.0, (1, 5): 1.0, (2, 5): 3.0, (3, 5): 6.0, (4, 5): 1.0}",149773.99999997942,Y
7,43,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 0]]",3.0,2.0,"{(0, 3): 1.0, (0, 4): 1.0, (0, 5): 1.0, (1, 4): 5.0, (2, 5): 7.0, (3, 4): 4.0, (3, 5): 4.0, (4, 5): 1.0}",1651.0000000380387,Y
8,46,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,2.0,"{(0, 3): 2.0, (0, 4): 1.0, (0, 5): 1.0, (1, 4): 1.0, (1, 5): 1.0, (2, 5): 6.0, (3, 4): 5.0, (3, 5): 1.0, (4, 5): 3.0}",122567.00000000364,Y
9,53,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",3.0,2.0,"{(0, 3): 1.0, (0, 4): 1.0, (0, 5): 1.0, (1, 4): 2.0, (1, 5): 3.0, (2, 4): 7.0, (3, 5): 8.0, (4, 5): 1.0}",1743.0000000331347,Y
10,57,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,2.0,"{(0, 3): 2.0, (0, 4): 2.0, (0, 5): 1.0, (1, 4): 1.0, (1, 5): 2.0, (2, 4): 6.0, (2, 5): 1.0, (3, 5): 9.0}",116912.99999995407,Y
