index,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
0,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,1.0,Y,"{0: 5, 1: 2, 2: 3, 3: 4}","{(0, 2): 3, (0, 3): 2, (1, 3): 2}",820.8751678466797,19.0,12.0,54.0
1,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,2.0,Y,"{0: 8, 1: 2, 2: 4, 3: 6}","{(0, 2): 4, (0, 3): 4, (1, 3): 2}",401.0200500488281,19.0,12.0,54.0
2,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,3.0,Y,"{0: 11, 1: 2, 2: 5, 3: 8}","{(0, 2): 5, (0, 3): 6, (1, 3): 2}",45.06111145019531,19.0,12.0,54.0
3,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,1.0,Y,"{0: 6, 1: 3, 2: 4, 3: 5}","{(0, 2): 4, (0, 3): 2, (1, 3): 3}",437.9749298095703,19.0,12.0,54.0
4,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,2.0,Y,"{0: 7, 1: 5, 2: 3, 3: 9}","{(0, 2): 3, (0, 3): 4, (1, 3): 5}",91.07589721679688,19.0,12.0,54.0
5,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,3.0,Y,"{0: 6, 1: 9, 2: 3, 3: 12}","{(0, 2): 3, (0, 3): 3, (1, 3): 9}",41.00799560546875,19.0,12.0,54.0
6,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",2.0,1.0,Y,"{0: 4, 1: 2, 2: 3, 3: 5}","{(0, 2): 2, (0, 3): 2, (1, 3): 2, (2, 3): 1}",54.12101745605469,20.0,12.0,56.0
7,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",2.0,2.0,Y,"{0: 4, 1: 2, 2: 6, 3: 8}","{(0, 2): 2, (0, 3): 2, (1, 3): 2, (2, 3): 4}",461.1015319824219,20.0,12.0,56.0
8,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",2.0,3.0,Y,"{0: 8, 1: 2, 2: 5, 3: 11}","{(0, 2): 2, (0, 3): 6, (1, 3): 2, (2, 3): 3}",402.9273986816406,20.0,12.0,56.0
9,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",3.0,1.0,Y,"{0: 4, 1: 3, 2: 5, 3: 6}","{(0, 2): 3, (0, 3): 1, (1, 3): 3, (2, 3): 2}",440.1206970214844,20.0,12.0,56.0
10,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",3.0,2.0,Y,"{0: 5, 1: 3, 2: 7, 3: 9}","{(0, 2): 3, (0, 3): 2, (1, 3): 3, (2, 3): 4}",481.8439483642578,20.0,12.0,56.0
11,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",3.0,3.0,Y,"{0: 9, 1: 3, 2: 6, 3: 12}","{(0, 2): 3, (0, 3): 6, (1, 3): 3, (2, 3): 3}",341.8922424316406,20.0,12.0,56.0
12,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",2.0,1.0,Y,"{0: 4, 1: 3, 2: 2, 3: 5}","{(0, 2): 1, (0, 3): 3, (1, 2): 1, (1, 3): 2}",56.02836608886719,20.0,12.0,56.0
13,"[[0, 0, 1, 1], [0, 0, 1, 1], [1, 1, 0, 0], [1, 1, 0, 0]]",2.0,2.0,Y,"{0: 8, 1: 2, 2: 6, 3: 4}","{(0, 2): 5, (0, 3): 3, (1, 2): 1, (1, 3): 1}",59.84306335449219,20.0,12.0,56.0
