index,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
0,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,1.0,Y,"{0: 5, 1: 2, 2: 3, 3: 4}","{(0, 2): 3, (0, 3): 2, (1, 3): 2}",211.95411682128906,3.0,4.0,6.0
1,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,2.0,Y,"{0: 8, 1: 2, 2: 4, 3: 6}","{(0, 2): 4, (0, 3): 4, (1, 3): 2}",343.08433532714844,3.0,4.0,6.0
2,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",2.0,3.0,Y,"{0: 11, 1: 2, 2: 5, 3: 8}","{(0, 2): 5, (0, 3): 6, (1, 3): 2}",337.83912658691406,3.0,4.0,6.0
3,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,1.0,Y,"{0: 6, 1: 3, 2: 4, 3: 5}","{(0, 2): 4, (0, 3): 2, (1, 3): 3}",343.08433532714844,3.0,4.0,6.0
4,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,2.0,Y,"{0: 7, 1: 5, 2: 3, 3: 9}","{(0, 2): 3, (0, 3): 4, (1, 3): 5}",264.16778564453125,3.0,4.0,6.0
5,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]",3.0,3.0,Y,"{0: 6, 1: 9, 2: 3, 3: 12}","{(0, 2): 3, (0, 3): 3, (1, 3): 9}",85.11543273925781,3.0,4.0,6.0
6,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",2.0,1.0,Y,"{0: 4, 1: 2, 2: 3, 3: 5}","{(0, 2): 2, (0, 3): 2, (1, 3): 2, (2, 3): 1}",141.8590545654297,4.0,4.0,8.0
7,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",2.0,2.0,Y,"{0: 4, 1: 2, 2: 6, 3: 8}","{(0, 2): 2, (0, 3): 2, (1, 3): 2, (2, 3): 4}",155.92575073242188,4.0,4.0,8.0
8,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",2.0,3.0,Y,"{0: 8, 1: 2, 2: 5, 3: 11}","{(0, 2): 2, (0, 3): 6, (1, 3): 2, (2, 3): 3}",82.0159912109375,4.0,4.0,8.0
9,"[[0, 0, 1, 1], [0, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]",3.0,1.0,Y,"{0: 4, 1: 3, 2: 5, 3: 6}","{(0, 2): 3, (0, 3): 1, (1, 3): 3, (2, 3): 2}",73.90975952148438,4.0,4.0,8.0
