index,graph_num,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime/microseconds,Gurobi_num_vars,Gurobi_num_constrs,Gurobi_nonzero_coefs
0,0,"[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0], [1, 0, 1, 1, 0, 0]]",3.0,2.0,Y,"{0: 9, 1: 3, 2: 7, 3: 5, 4: 11, 5: 13}","{(0, 4): 8, (0, 5): 1, (1, 4): 3, (2, 5): 7, (3, 5): 5}",375.0324249267578,41.0,18.0,118.0
1,5,"[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",2.0,2.0,Y,"{0: 8, 1: 6, 2: 4, 3: 2, 4: 12, 5: 10}","{(0, 4): 2, (0, 5): 6, (1, 4): 5, (1, 5): 1, (2, 4): 4, (3, 5): 2, (4, 5): 1}",1065.0157928466797,43.0,18.0,122.0
2,21,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",3.0,2.0,Y,"{0: 5, 1: 3, 2: 11, 3: 7, 4: 13, 5: 9}","{(0, 3): 3, (0, 5): 2, (1, 4): 1, (1, 5): 2, (2, 4): 11, (3, 5): 4, (4, 5): 1}",777.0061492919922,43.0,18.0,122.0
3,23,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",3.0,2.0,Y,"{0: 13, 1: 7, 2: 3, 3: 11, 4: 5, 5: 9}","{(0, 3): 11, (0, 5): 2, (1, 4): 3, (1, 5): 4, (2, 4): 1, (2, 5): 2, (4, 5): 1}",35.04753112792969,43.0,18.0,122.0
4,35,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 1, 0]]",3.0,2.0,Y,"{0: 13, 1: 3, 2: 7, 3: 11, 4: 5, 5: 9}","{(0, 3): 11, (0, 4): 1, (0, 5): 1, (1, 4): 3, (2, 5): 7, (4, 5): 1}",41.961669921875,42.0,18.0,120.0
5,40,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,2.0,Y,"{0: 10, 1: 2, 2: 6, 3: 4, 4: 8, 5: 12}","{(0, 3): 2, (0, 4): 6, (0, 5): 2, (1, 4): 1, (1, 5): 1, (2, 5): 6, (3, 5): 2, (4, 5): 1}",760.0784301757812,44.0,18.0,124.0
6,41,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,2.0,Y,"{0: 5, 1: 9, 2: 3, 3: 7, 4: 11, 5: 13}","{(0, 3): 1, (0, 4): 3, (0, 5): 1, (1, 4): 7, (1, 5): 2, (2, 5): 3, (3, 5): 6, (4, 5): 1}",895.9770202636719,44.0,18.0,124.0
7,43,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 0]]",3.0,2.0,Y,"{0: 11, 1: 5, 2: 3, 3: 7, 4: 9, 5: 13}","{(0, 3): 3, (0, 4): 2, (0, 5): 6, (1, 4): 5, (2, 5): 3, (3, 4): 1, (3, 5): 3, (4, 5): 1}",60.08148193359375,44.0,18.0,124.0
8,46,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1], [1, 1, 0, 1, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,2.0,Y,"{0: 12, 1: 4, 2: 2, 3: 6, 4: 10, 5: 8}","{(0, 3): 4, (0, 4): 5, (0, 5): 3, (1, 4): 3, (1, 5): 1, (2, 5): 2, (3, 4): 1, (3, 5): 1, (4, 5): 1}",75.10185241699219,45.0,18.0,126.0
9,53,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",3.0,2.0,Y,"{0: 13, 1: 5, 2: 3, 3: 9, 4: 7, 5: 11}","{(0, 3): 8, (0, 4): 1, (0, 5): 4, (1, 4): 1, (1, 5): 4, (2, 4): 3, (3, 5): 1, (4, 5): 2}",64.13459777832031,44.0,18.0,124.0
