,optimal,total_runtime,qpu_access_time,sample
0,Y,2996033,134078,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T04': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 1, 'T33': 0, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'y00': 1, 'y01': 1, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 1, 'y32': 0}"
1,Y,2983061,143161,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T04': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'y00': 0, 'y01': 0, 'y02': 1, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 1, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y40': 0, 'y41': 1, 'y42': 0}"
2,Y,2992181,151321,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T04': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 1, 'T33': 0, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'y00': 1, 'y01': 0, 'y02': 1, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 1, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 1, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y43': 0}"
3,Y,2985140,166634,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T04': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 1, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y40': 0, 'y41': 0, 'y42': 0}"
4,Y,2990766,167289,"{'T00': 1, 'T01': 0, 'T02': 0, 'T03': 0, 'T04': 0, 'T10': 0, 'T11': 0, 'T12': 0, 'T13': 1, 'T14': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 0, 'T34': 1, 'T40': 0, 'T41': 0, 'T42': 1, 'T43': 0, 'T44': 0, 'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 1, 'y22': 1, 'y30': 1, 'y31': 1, 'y32': 0, 'y40': 0, 'y41': 0, 'y42': 0}"
5,Y,2980715,201693,"{'T00': 0, 'T01': 1, 'T02': 0, 'T03': 0, 'T04': 0, 'T10': 0, 'T11': 0, 'T12': 0, 'T13': 1, 'T14': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 0, 'T34': 1, 'T40': 0, 'T41': 0, 'T42': 1, 'T43': 0, 'T44': 0, 'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 1, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y23': 1, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y43': 0}"
6,Y,2996550,215430,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T04': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 1, 'T33': 0, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'y00': 0, 'y01': 1, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y40': 1, 'y41': 0, 'y42': 0}"
7,Y,2988656,171501,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T04': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'y00': 0, 'y01': 1, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y40': 0, 'y41': 1, 'y42': 0, 'y50': 0, 'y51': 0, 'y52': 0}"
8,Y,2981718,123502,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T04': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 1, 'T33': 0, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'y00': 1, 'y01': 1, 'y02': 0, 'y10': 1, 'y11': 1, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 1, 'y32': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y50': 0, 'y51': 0, 'y52': 0}"
9,Y,2989486,157157,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T04': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 1, 'T33': 0, 'T34': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'y00': 0, 'y01': 0, 'y02': 1, 'y03': 0, 'y10': 1, 'y11': 0, 'y12': 1, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 1, 'y43': 0, 'y50': 1, 'y51': 0, 'y52': 0, 'y53': 0}"
10,Y,2990913,147807,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T04': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T24': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 0, 'T34': 1, 'T40': 0, 'T41': 0, 'T42': 1, 'T43': 0, 'T44': 0, 'y00': 1, 'y01': 1, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y50': 1, 'y51': 0, 'y52': 0}"
