,Unnamed: 0,graph_num,optimal,total_runtime,qpu_access_time,sample
0,0,0,Y,2983380,166524,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T04': 0, 'T05': 0, 'T10': 0, 'T11': 0, 'T12': 0, 'T13': 1, 'T14': 0, 'T15': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T24': 0, 'T25': 0, 'T30': 1, 'T31': 0, 'T32': 0, 'T33': 0, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 0, 'T45': 1, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 0, 'T54': 1, 'T55': 0, 'y00': 1, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 1, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 1, 'y30': 0, 'y31': 0, 'y32': 1, 'y33': 0, 'y40': 0, 'y41': 1, 'y42': 0, 'y43': 0}"
1,1,5,Y,2995182,151862,"{'T00': 0, 'T01': 1, 'T02': 0, 'T03': 0, 'T04': 0, 'T05': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 0, 'T21': 0, 'T22': 1, 'T23': 0, 'T24': 0, 'T25': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 1, 'T45': 0, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 0, 'T54': 0, 'T55': 1, 'y00': 1, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 1, 'y41': 0, 'y42': 1, 'y43': 0, 'y50': 1, 'y51': 1, 'y52': 1, 'y53': 0, 'y60': 0, 'y61': 0, 'y62': 0, 'y63': 0}"
2,2,21,Y,2988264,127257,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 0, 'T04': 1, 'T05': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T25': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 1, 'T43': 0, 'T44': 0, 'T45': 0, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 0, 'T54': 0, 'T55': 1, 'y00': 1, 'y01': 0, 'y02': 1, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 1, 'y13': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 1, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 1, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 1, 'y52': 0, 'y53': 0, 'y60': 1, 'y61': 0, 'y62': 0, 'y63': 0}"
3,3,23,Y,2986257,122522,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T04': 0, 'T05': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 0, 'T21': 0, 'T22': 0, 'T23': 1, 'T24': 0, 'T25': 0, 'T30': 1, 'T31': 0, 'T32': 0, 'T33': 0, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 0, 'T45': 1, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 0, 'T54': 1, 'T55': 0, 'y00': 0, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 1, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 1, 'y42': 1, 'y43': 0, 'y50': 1, 'y51': 0, 'y52': 0, 'y53': 0, 'y60': 0, 'y61': 1, 'y62': 0, 'y63': 0}"
4,4,35,Y,2993409,119616,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T04': 0, 'T05': 0, 'T10': 0, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 1, 'T15': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T24': 0, 'T25': 0, 'T30': 1, 'T31': 0, 'T32': 0, 'T33': 0, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 0, 'T45': 1, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 1, 'T54': 0, 'T55': 0, 'y00': 0, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 1, 'y32': 0, 'y33': 1, 'y40': 0, 'y41': 0, 'y42': 1, 'y43': 0, 'y50': 0, 'y51': 0, 'y52': 0, 'y53': 0}"
5,5,40,Y,2998162,125368,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 0, 'T04': 1, 'T05': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T25': 0, 'T30': 0, 'T31': 0, 'T32': 1, 'T33': 0, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 1, 'T44': 0, 'T45': 0, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 0, 'T54': 0, 'T55': 1, 'y00': 0, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 1, 'y13': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 1, 'y42': 0, 'y43': 0, 'y50': 1, 'y51': 0, 'y52': 0, 'y53': 0, 'y60': 0, 'y61': 1, 'y62': 0, 'y63': 0, 'y70': 1, 'y71': 0, 'y72': 0, 'y73': 0}"
6,6,41,Y,2998301,100499,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T04': 0, 'T05': 0, 'T10': 0, 'T11': 0, 'T12': 1, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T25': 0, 'T30': 0, 'T31': 1, 'T32': 0, 'T33': 0, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 0, 'T45': 1, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 0, 'T54': 1, 'T55': 0, 'y00': 0, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 1, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 1, 'y33': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 1, 'y52': 0, 'y53': 0, 'y60': 1, 'y61': 0, 'y62': 0, 'y63': 0, 'y70': 0, 'y71': 1, 'y72': 0, 'y73': 0}"
7,7,43,Y,2993983,49987,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T04': 0, 'T05': 0, 'T10': 0, 'T11': 0, 'T12': 1, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T25': 0, 'T30': 0, 'T31': 1, 'T32': 0, 'T33': 0, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 0, 'T44': 0, 'T45': 1, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 0, 'T54': 1, 'T55': 0, 'y00': 0, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 1, 'y21': 1, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 1, 'y32': 1, 'y33': 0, 'y40': 0, 'y41': 1, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 0, 'y52': 0, 'y53': 0, 'y60': 0, 'y61': 0, 'y62': 0, 'y63': 0, 'y70': 0, 'y71': 1, 'y72': 0, 'y73': 0}"
8,8,46,Y,2990131,132526,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 0, 'T04': 1, 'T05': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T24': 0, 'T25': 0, 'T30': 0, 'T31': 0, 'T32': 1, 'T33': 0, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 1, 'T44': 0, 'T45': 0, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 0, 'T54': 0, 'T55': 1, 'y00': 0, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 1, 'y21': 0, 'y22': 1, 'y23': 0, 'y30': 0, 'y31': 1, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 1, 'y51': 0, 'y52': 0, 'y53': 0, 'y60': 1, 'y61': 0, 'y62': 0, 'y63': 0, 'y70': 0, 'y71': 0, 'y72': 0, 'y73': 0, 'y80': 1, 'y81': 0, 'y82': 0, 'y83': 0}"
9,9,53,Y,2990897,129322,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 0, 'T04': 1, 'T05': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T14': 0, 'T15': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T24': 0, 'T25': 0, 'T30': 0, 'T31': 0, 'T32': 1, 'T33': 0, 'T34': 0, 'T35': 0, 'T40': 0, 'T41': 0, 'T42': 0, 'T43': 1, 'T44': 0, 'T45': 0, 'T50': 0, 'T51': 0, 'T52': 0, 'T53': 0, 'T54': 0, 'T55': 1, 'y00': 0, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 1, 'y22': 1, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 0, 'y52': 1, 'y53': 0, 'y60': 1, 'y61': 1, 'y62': 0, 'y63': 0, 'y70': 0, 'y71': 0, 'y72': 0, 'y73': 0}"
