,optimal,total_runtime,qpu_access_time,sample
0,Y,2995428,111066,"{'T00': 0, 'T01': 1, 'T02': 0, 'T03': 0, 'T10': 0, 'T11': 0, 'T12': 1, 'T13': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'y00': 1, 'y01': 0, 'y10': 0, 'y11': 0, 'y20': 1, 'y21': 1}"
1,Y,2992997,100029,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T20': 0, 'T21': 0, 'T22': 1, 'T23': 0, 'T30': 0, 'T31': 1, 'T32': 0, 'T33': 0, 'y00': 1, 'y01': 0, 'y02': 1, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 0, 'y22': 0}"
2,Y,2981922,95749,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'y00': 1, 'y01': 0, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 1, 'y20': 0, 'y21': 0, 'y22': 1}"
3,Y,2993418,113388,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T30': 0, 'T31': 0, 'T32': 1, 'T33': 0, 'y00': 1, 'y01': 1, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0}"
4,Y,2987080,113997,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T10': 0, 'T11': 1, 'T12': 0, 'T13': 0, 'T20': 1, 'T21': 0, 'T22': 0, 'T23': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'y00': 0, 'y01': 1, 'y02': 0, 'y10': 1, 'y11': 1, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 1}"
5,Y,2989322,121741,"{'T00': 0, 'T01': 0, 'T02': 0, 'T03': 1, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T20': 0, 'T21': 0, 'T22': 1, 'T23': 0, 'T30': 0, 'T31': 1, 'T32': 0, 'T33': 0, 'y00': 0, 'y01': 0, 'y02': 0, 'y03': 1, 'y10': 0, 'y11': 1, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y23': 0}"
6,Y,2980756,93237,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'y00': 1, 'y01': 0, 'y10': 1, 'y11': 0, 'y20': 1, 'y21': 0, 'y30': 0, 'y31': 0}"
7,Y,2988205,120484,"{'T00': 0, 'T01': 1, 'T02': 0, 'T03': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T20': 0, 'T21': 0, 'T22': 1, 'T23': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'y00': 1, 'y01': 0, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 1, 'y32': 0}"
8,Y,2985456,104530,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'y00': 1, 'y01': 0, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 1, 'y20': 1, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 1, 'y32': 0}"
9,Y,2997238,98503,"{'T00': 0, 'T01': 0, 'T02': 1, 'T03': 0, 'T10': 1, 'T11': 0, 'T12': 0, 'T13': 0, 'T20': 0, 'T21': 1, 'T22': 0, 'T23': 0, 'T30': 0, 'T31': 0, 'T32': 0, 'T33': 1, 'y00': 0, 'y01': 1, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y30': 0, 'y31': 0, 'y32': 0}"
