,optimal,total_runtime,qpu_access_time,sample
0,Y,2993082,48419,"{'y00': 1, 'y01': 0, 'y10': 0, 'y11': 0, 'y20': 1, 'y21': 1}"
1,Y,3000447,131529,"{'y00': 1, 'y01': 0, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 0, 'y22': 1}"
2,Y,2996155,0,"{'y00': 1, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 1, 'y12': 0, 'y20': 1, 'y21': 1, 'y22': 1}"
3,Y,2989896,65405,"{'y00': 0, 'y01': 1, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 1}"
4,Y,2983243,82660,"{'y00': 0, 'y01': 1, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 1}"
5,Y,2993382,84307,"{'y00': 0, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 1, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 1}"
6,Y,2993018,97598,"{'y00': 1, 'y01': 0, 'y10': 0, 'y11': 0, 'y20': 1, 'y21': 0, 'y30': 1, 'y31': 0}"
7,Y,2996692,100282,"{'y00': 1, 'y01': 0, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 1, 'y32': 0}"
8,Y,2985903,85068,"{'y00': 1, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 1, 'y12': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 1}"
9,Y,2997635,116831,"{'y00': 0, 'y01': 1, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 0}"
10,Y,2982783,119547,"{'y00': 0, 'y01': 1, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y30': 1, 'y31': 1, 'y32': 0}"
11,Y,2993173,104895,"{'y00': 0, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 1, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 1, 'y33': 0}"
12,Y,2984822,81253,"{'y00': 0, 'y01': 0, 'y10': 0, 'y11': 0, 'y20': 1, 'y21': 0, 'y30': 0, 'y31': 1}"
13,Y,2980488,82902,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y30': 0, 'y31': 0, 'y32': 1}"
14,Y,2989559,116583,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 1, 'y22': 0, 'y30': 0, 'y31': 1, 'y32': 1}"
15,Y,2997933,100943,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y30': 0, 'y31': 1, 'y32': 0}"
16,Y,3001491,50602,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 1, 'y22': 0, 'y30': 0, 'y31': 0, 'y32': 1}"
17,Y,2996339,88714,"{'y00': 1, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 1, 'y21': 1, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 1, 'y32': 1, 'y33': 0}"
18,Y,2994215,149142,"{'y00': 0, 'y01': 0, 'y10': 0, 'y11': 0, 'y20': 0, 'y21': 0, 'y30': 1, 'y31': 0, 'y40': 1, 'y41': 0}"
19,Y,2991193,102892,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 1, 'y32': 0, 'y40': 1, 'y41': 1, 'y42': 0}"
20,Y,2996588,101359,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 1, 'y32': 0, 'y40': 1, 'y41': 0, 'y42': 1}"
21,Y,2996053,85173,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y40': 1, 'y41': 0, 'y42': 0}"
22,Y,2991354,87243,"{'y00': 1, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 1, 'y32': 0, 'y40': 1, 'y41': 1, 'y42': 0}"
23,Y,2988350,91260,"{'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 1, 'y32': 0, 'y33': 0, 'y40': 1, 'y41': 0, 'y42': 1, 'y43': 0}"
24,Y,2981639,88569,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y50': 0, 'y51': 1, 'y52': 0}"
25,Y,2982100,105524,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y40': 0, 'y41': 1, 'y42': 0, 'y50': 0, 'y51': 0, 'y52': 1}"
26,Y,2999230,112389,"{'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 1, 'y41': 1, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 1, 'y52': 1, 'y53': 0}"
