,graph_num,optimal,total_runtime,qpu_access_time,sample
0,15,Y,2992435,75027,"{'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 1, 'y23': 0, 'y30': 0, 'y31': 1, 'y32': 1, 'y33': 0, 'y40': 1, 'y41': 1, 'y42': 1, 'y43': 0, 'y50': 0, 'y51': 0, 'y52': 0, 'y53': 0}"
1,24,Y,2995897,38612,"{'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 1, 'y43': 0, 'y50': 0, 'y51': 0, 'y52': 0, 'y53': 0, 'y60': 0, 'y61': 0, 'y62': 0, 'y63': 1}"
2,28,Y,2986008,19307,"{'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 1, 'y41': 0, 'y42': 1, 'y43': 0, 'y50': 0, 'y51': 1, 'y52': 1, 'y53': 0, 'y60': 1, 'y61': 0, 'y62': 0, 'y63': 0}"
3,37,Y,2999437,96364,"{'y00': 0, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 1, 'y32': 1, 'y33': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 1, 'y52': 1, 'y53': 0, 'y60': 0, 'y61': 1, 'y62': 0, 'y63': 0}"
4,47,Y,2994108,104895,"{'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 1, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 1, 'y52': 1, 'y53': 0, 'y60': 0, 'y61': 0, 'y62': 1, 'y63': 0, 'y70': 0, 'y71': 1, 'y72': 0, 'y73': 0, 'y80': 0, 'y81': 0, 'y82': 0, 'y83': 0}"
5,49,Y,2982351,59920,"{'y00': 1, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 1, 'y21': 1, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 1, 'y41': 1, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 1, 'y52': 0, 'y53': 0, 'y60': 0, 'y61': 0, 'y62': 0, 'y63': 1}"
6,51,Y,2982387,109735,"{'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 1, 'y43': 0, 'y50': 1, 'y51': 0, 'y52': 0, 'y53': 0, 'y60': 1, 'y61': 1, 'y62': 1, 'y63': 0, 'y70': 0, 'y71': 0, 'y72': 0, 'y73': 0}"
7,53,Y,2992575,179030,"{'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 1, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 1, 'y52': 1, 'y53': 0, 'y60': 1, 'y61': 1, 'y62': 1, 'y63': 0, 'y70': 0, 'y71': 0, 'y72': 0, 'y73': 0}"
8,55,Y,2992467,109704,"{'y00': 0, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 1, 'y33': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 1, 'y51': 0, 'y52': 0, 'y53': 0, 'y60': 0, 'y61': 1, 'y62': 1, 'y63': 0, 'y70': 0, 'y71': 1, 'y72': 0, 'y73': 0}"
9,57,Y,2989513,121170,"{'y00': 1, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 0, 'y52': 1, 'y53': 0, 'y60': 1, 'y61': 0, 'y62': 0, 'y63': 0, 'y70': 0, 'y71': 0, 'y72': 0, 'y73': 1}"
10,65,Y,2994421,96532,"{'y00': 1, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 1, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 1, 'y42': 1, 'y43': 0, 'y50': 1, 'y51': 0, 'y52': 1, 'y53': 0, 'y60': 0, 'y61': 1, 'y62': 0, 'y63': 0}"
