,graph_num,optimal,total_runtime,qpu_access_time,sample,optimal_3,total_runtime_3,qpu_access_time_3,sample_3
0,58,Y,2995808,91783,"{'y00': 1, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 0, 'y41': 1, 'y42': 0, 'y43': 0, 'y50': 0, 'y51': 0, 'y52': 1, 'y53': 0, 'y60': 1, 'y61': 0, 'y62': 1, 'y63': 0, 'y70': 1, 'y71': 1, 'y72': 0, 'y73': 0, 'y80': 1, 'y81': 0, 'y82': 0, 'y83': 0}",Y,2995854,119767,"{'y00': 1, 'y01': 1, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 1, 'y32': 1, 'y33': 0, 'y40': 1, 'y41': 1, 'y42': 0, 'y43': 0, 'y50': 1, 'y51': 0, 'y52': 1, 'y53': 0, 'y60': 1, 'y61': 0, 'y62': 0, 'y63': 0}"
1,138,Y,2999542,76656,"{'y00': 1, 'y01': 1, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y50': 0, 'y51': 0, 'y52': 1, 'y60': 1, 'y61': 0, 'y62': 0, 'y70': 1, 'y71': 1, 'y72': 0, 'y80': 0, 'y81': 0, 'y82': 0}",Y,2996522,129464,"{'y00': 1, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 1, 'y12': 0, 'y13': 0, 'y20': 1, 'y21': 1, 'y22': 1, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 1, 'y41': 1, 'y42': 0, 'y43': 0, 'y50': 1, 'y51': 1, 'y52': 1, 'y53': 0}"
2,172,Y,2996851,80313,"{'y00': 1, 'y01': 1, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y50': 0, 'y51': 1, 'y52': 0, 'y60': 0, 'y61': 0, 'y62': 0, 'y70': 1, 'y71': 0, 'y72': 0, 'y80': 0, 'y81': 1, 'y82': 0, 'y90': 0, 'y91': 1, 'y92': 0}",Y,2983951,128656,"{'y00': 1, 'y01': 1, 'y02': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y20': 1, 'y21': 0, 'y22': 1, 'y30': 0, 'y31': 0, 'y32': 0, 'y40': 0, 'y41': 1, 'y42': 0, 'y50': 1, 'y51': 1, 'y52': 0, 'y60': 0, 'y61': 0, 'y62': 0}"
3,279,Y,2983023,97552,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 1, 'y32': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y50': 1, 'y51': 0, 'y52': 1, 'y60': 0, 'y61': 0, 'y62': 0, 'y70': 1, 'y71': 1, 'y72': 0, 'y80': 0, 'y81': 0, 'y82': 0, 'y90': 0, 'y91': 0, 'y92': 0}",Y,2987468,131406,"{'y00': 1, 'y01': 1, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 0, 'y31': 0, 'y32': 1, 'y40': 0, 'y41': 1, 'y42': 0, 'y50': 1, 'y51': 1, 'y52': 0, 'y60': 1, 'y61': 0, 'y62': 0, 'y70': 0, 'y71': 0, 'y72': 0}"
4,313,Y,2997345,118840,"{'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y04': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y13': 0, 'y14': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y23': 0, 'y24': 0, 'y30': 1, 'y31': 1, 'y32': 0, 'y33': 0, 'y34': 0, 'y40': 1, 'y41': 1, 'y42': 0, 'y43': 0, 'y44': 0, 'y50': 0, 'y51': 0, 'y52': 1, 'y53': 0, 'y54': 0, 'y60': 1, 'y61': 1, 'y62': 0, 'y63': 1, 'y64': 0, 'y70': 1, 'y71': 1, 'y72': 0, 'y73': 1, 'y74': 0}",Y,2992847,156653,"{'y00': 1, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 1, 'y32': 0, 'y33': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y43': 0, 'y50': 1, 'y51': 0, 'y52': 0, 'y53': 0, 'y60': 1, 'y61': 1, 'y62': 1, 'y63': 0, 'y70': 0, 'y71': 1, 'y72': 1, 'y73': 0, 'y80': 0, 'y81': 0, 'y82': 0, 'y83': 0}"
5,383,Y,2982290,127025,"{'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 0, 'y31': 0, 'y32': 1, 'y33': 0, 'y40': 1, 'y41': 0, 'y42': 1, 'y43': 0, 'y50': 0, 'y51': 0, 'y52': 0, 'y53': 0, 'y60': 1, 'y61': 0, 'y62': 0, 'y63': 0, 'y70': 1, 'y71': 0, 'y72': 0, 'y73': 1}",Y,2980792,164797,"{'y00': 1, 'y01': 0, 'y02': 0, 'y03': 0, 'y04': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y14': 0, 'y20': 0, 'y21': 1, 'y22': 0, 'y23': 0, 'y24': 0, 'y30': 0, 'y31': 1, 'y32': 0, 'y33': 0, 'y34': 0, 'y40': 0, 'y41': 1, 'y42': 1, 'y43': 1, 'y44': 0, 'y50': 0, 'y51': 0, 'y52': 0, 'y53': 1, 'y54': 0, 'y60': 0, 'y61': 1, 'y62': 1, 'y63': 0, 'y64': 0, 'y70': 1, 'y71': 0, 'y72': 0, 'y73': 0, 'y74': 0}"
6,469,Y,2984879,118650,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y50': 0, 'y51': 0, 'y52': 0, 'y60': 1, 'y61': 1, 'y62': 0, 'y70': 0, 'y71': 0, 'y72': 1, 'y80': 0, 'y81': 0, 'y82': 0, 'y90': 0, 'y91': 1, 'y92': 0}",Y,2985042,140902,"{'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y20': 1, 'y21': 0, 'y22': 0, 'y23': 0, 'y30': 1, 'y31': 0, 'y32': 0, 'y33': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y43': 1, 'y50': 1, 'y51': 0, 'y52': 1, 'y53': 0, 'y60': 0, 'y61': 0, 'y62': 1, 'y63': 0, 'y70': 0, 'y71': 0, 'y72': 0, 'y73': 0}"
7,533,Y,2998124,134852,"{'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y04': 0, 'y10': 0, 'y100': 1, 'y101': 1, 'y102': 0, 'y103': 1, 'y104': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y14': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y24': 0, 'y30': 0, 'y31': 0, 'y32': 0, 'y33': 0, 'y34': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y43': 0, 'y44': 0, 'y50': 1, 'y51': 1, 'y52': 0, 'y53': 0, 'y54': 0, 'y60': 0, 'y61': 0, 'y62': 0, 'y63': 0, 'y64': 0, 'y70': 1, 'y71': 1, 'y72': 0, 'y73': 0, 'y74': 0, 'y80': 1, 'y81': 1, 'y82': 0, 'y83': 0, 'y84': 0, 'y90': 1, 'y91': 1, 'y92': 0, 'y93': 1, 'y94': 0}",Y,2997442,135452,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 1, 'y32': 0, 'y40': 1, 'y41': 1, 'y42': 0, 'y50': 0, 'y51': 0, 'y52': 0, 'y60': 1, 'y61': 0, 'y62': 0, 'y70': 1, 'y71': 1, 'y72': 0, 'y80': 0, 'y81': 1, 'y82': 0}"
8,577,Y,2986046,117635,"{'y00': 0, 'y01': 1, 'y02': 0, 'y03': 0, 'y04': 0, 'y10': 1, 'y11': 0, 'y12': 0, 'y13': 0, 'y14': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y24': 0, 'y30': 0, 'y31': 1, 'y32': 0, 'y33': 0, 'y34': 0, 'y40': 1, 'y41': 0, 'y42': 1, 'y43': 0, 'y44': 0, 'y50': 1, 'y51': 1, 'y52': 0, 'y53': 1, 'y54': 0, 'y60': 0, 'y61': 0, 'y62': 1, 'y63': 1, 'y64': 0, 'y70': 1, 'y71': 0, 'y72': 0, 'y73': 0, 'y74': 0}",Y,2991486,162520,"{'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y04': 0, 'y10': 0, 'y100': 1, 'y101': 0, 'y102': 0, 'y103': 0, 'y104': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y14': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y24': 0, 'y30': 1, 'y31': 1, 'y32': 0, 'y33': 0, 'y34': 0, 'y40': 1, 'y41': 0, 'y42': 0, 'y43': 0, 'y44': 0, 'y50': 0, 'y51': 1, 'y52': 1, 'y53': 0, 'y54': 0, 'y60': 1, 'y61': 0, 'y62': 0, 'y63': 0, 'y64': 0, 'y70': 1, 'y71': 1, 'y72': 1, 'y73': 0, 'y74': 0, 'y80': 1, 'y81': 1, 'y82': 0, 'y83': 0, 'y84': 0, 'y90': 1, 'y91': 0, 'y92': 0, 'y93': 1, 'y94': 0}"
9,649,Y,2994683,146220,"{'y00': 0, 'y01': 0, 'y02': 0, 'y03': 0, 'y04': 0, 'y10': 0, 'y11': 0, 'y12': 0, 'y13': 0, 'y14': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y23': 0, 'y24': 0, 'y30': 1, 'y31': 0, 'y32': 1, 'y33': 0, 'y34': 0, 'y40': 0, 'y41': 1, 'y42': 0, 'y43': 0, 'y44': 0, 'y50': 1, 'y51': 1, 'y52': 0, 'y53': 1, 'y54': 0, 'y60': 0, 'y61': 0, 'y62': 0, 'y63': 0, 'y64': 0, 'y70': 0, 'y71': 0, 'y72': 1, 'y73': 1, 'y74': 0, 'y80': 1, 'y81': 1, 'y82': 0, 'y83': 0, 'y84': 0}",Y,2995727,127366,"{'y00': 0, 'y01': 0, 'y02': 0, 'y10': 0, 'y100': 0, 'y101': 0, 'y102': 0, 'y11': 0, 'y12': 0, 'y20': 0, 'y21': 0, 'y22': 0, 'y30': 1, 'y31': 1, 'y32': 0, 'y40': 0, 'y41': 0, 'y42': 0, 'y50': 0, 'y51': 0, 'y52': 0, 'y60': 0, 'y61': 1, 'y62': 0, 'y70': 0, 'y71': 1, 'y72': 0, 'y80': 0, 'y81': 1, 'y82': 0, 'y90': 1, 'y91': 0, 'y92': 0}"
