,Graph,Adjacency_list,a,d,APG_label_availability,Edge weights
93,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",4.0,2.0,Y,"{(0, 3): 4, (0, 5): 2, (1, 4): 9, (1, 5): 3, (2, 5): 4, (3, 5): 4, (4, 5): 1}"
204,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",4.0,7.0,Y,"{(0, 3): 25, (0, 4): 1, (0, 5): 13, (1, 4): 6, (1, 5): 11, (2, 5): 4, (4, 5): 3}"
177,Graph with 6 nodes and 6 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 1, 0]]",4.0,7.0,Y,"{(0, 3): 4, (0, 4): 3, (0, 5): 3, (1, 4): 18, (2, 5): 32, (4, 5): 3}"
350,Graph with 6 nodes and 10 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 1, 1], [1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,9.0,Y,"{(0, 3): 7, (0, 4): 1, (0, 5): 2, (1, 4): 1, (1, 5): 1, (2, 4): 25, (2, 5): 22, (3, 4): 1, (3, 5): 11, (4, 5): 1}"
10,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,5.0,Y,"{(0, 4): 1, (0, 5): 11, (1, 4): 17, (1, 5): 1, (2, 5): 8, (3, 5): 3, (4, 5): 4}"
311,Graph with 6 nodes and 8 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 0]]",4.0,6.0,Y,"{(0, 3): 4, (0, 4): 9, (0, 5): 3, (1, 4): 9, (1, 5): 1, (2, 4): 1, (2, 5): 21, (4, 5): 9}"
736,Graph with 6 nodes and 9 edges,"[[0, 0, 1, 0, 1, 1], [0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",2.0,8.0,Y,"{(0, 2): 1, (0, 4): 5, (0, 5): 4, (1, 3): 33, (1, 4): 8, (1, 5): 1, (2, 4): 1, (3, 5): 1, (4, 5): 12}"
108,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",2.0,8.0,Y,"{(0, 3): 33, (0, 5): 9, (1, 4): 5, (1, 5): 13, (2, 4): 2, (3, 5): 1, (4, 5): 3}"
42,Graph with 6 nodes and 9 edges,"[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 0]]",3.0,8.0,Y,"{(0, 4): 4, (0, 5): 23, (1, 4): 10, (1, 5): 1, (2, 4): 2, (2, 5): 1, (3, 4): 18, (3, 5): 1, (4, 5): 9}"
76,Graph with 6 nodes and 6 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",4.0,9.0,Y,"{(0, 3): 35, (0, 5): 13, (1, 4): 13, (1, 5): 9, (2, 5): 4, (3, 5): 4}"
