,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime
443,Graph with 7 nodes and 10 edges,"[[0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 1, 1], [0, 1, 1, 0, 0, 1, 1], [1, 0, 0, 1, 1, 0, 0], [1, 1, 0, 1, 1, 0, 0]]",4.0,3.0,Y,"{0: 10, 1: 13, 2: 16, 3: 4, 4: 22, 5: 7, 6: 19}","{(0, 3): 1, (0, 5): 2, (0, 6): 6, (1, 4): 2, (1, 6): 10, (2, 4): 16, (3, 5): 2, (3, 6): 1, (4, 5): 2, (4, 6): 1}",2184.999999997217
343,Graph with 7 nodes and 9 edges,"[[0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0], [1, 0, 1, 1, 1, 0, 0]]",2.0,2.0,Y,"{0: 14, 1: 6, 2: 4, 3: 2, 4: 8, 5: 10, 6: 12}","{(0, 3): 1, (0, 5): 6, (0, 6): 7, (1, 4): 5, (1, 5): 1, (2, 5): 3, (2, 6): 1, (3, 6): 1, (4, 6): 3}",1216.999999996915
1070,Graph with 7 nodes and 11 edges,"[[0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 1, 0, 1, 1], [1, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 0, 0], [1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 0, 1, 0]]",2.0,2.0,Y,"{0: 12, 1: 6, 2: 4, 3: 10, 4: 2, 5: 8, 6: 14}","{(0, 2): 3, (0, 4): 1, (0, 5): 3, (0, 6): 5, (1, 3): 4, (1, 5): 1, (1, 6): 1, (2, 4): 1, (3, 5): 1, (3, 6): 5, (5, 6): 3}",624.0000000161672
460,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 1, 1], [0, 1, 1, 0, 0, 1, 1], [1, 1, 0, 1, 1, 0, 1], [1, 1, 0, 1, 1, 1, 0]]",3.0,2.0,Y,"{0: 5, 1: 3, 2: 7, 3: 9, 4: 15, 5: 13, 6: 11}","{(0, 3): 1, (0, 5): 3, (0, 6): 1, (1, 4): 1, (1, 5): 1, (1, 6): 1, (2, 4): 7, (3, 5): 1, (3, 6): 6, (4, 5): 6, (4, 6): 1, (5, 6): 1}",1801.0000000003856
894,Graph with 7 nodes and 13 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 1], [1, 1, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 0, 1], [1, 1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 1, 1, 0]]",3.0,6.0,Y,"{0: 9, 1: 3, 2: 39, 3: 27, 4: 21, 5: 33, 6: 15}","{(0, 3): 6, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 3): 1, (1, 5): 1, (1, 6): 1, (2, 4): 19, (2, 5): 9, (2, 6): 10, (3, 5): 20, (4, 6): 1, (5, 6): 1}",1145.0000000081673
1209,Graph with 7 nodes and 17 edges,"[[0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 1, 1, 1, 1], [1, 0, 1, 0, 1, 1, 1], [1, 0, 1, 1, 0, 1, 1], [1, 1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1, 0]]",4.0,2.0,Y,"{0: 6, 1: 4, 2: 16, 3: 12, 4: 8, 5: 10, 6: 14}","{(0, 2): 1, (0, 3): 1, (0, 4): 1, (0, 5): 1, (0, 6): 2, (1, 5): 1, (1, 6): 3, (2, 3): 7, (2, 4): 1, (2, 5): 5, (2, 6): 2, (3, 4): 1, (3, 5): 1, (3, 6): 2, (4, 5): 1, (4, 6): 4, (5, 6): 1}",1582.9999999823485
1072,Graph with 7 nodes and 11 edges,"[[0, 0, 1, 0, 1, 1, 1], [0, 0, 0, 1, 0, 1, 1], [1, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 0, 0], [1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 0, 1, 0]]",2.0,4.0,Y,"{0: 18, 1: 10, 2: 6, 3: 22, 4: 2, 5: 26, 6: 14}","{(0, 2): 5, (0, 4): 1, (0, 5): 11, (0, 6): 1, (1, 3): 8, (1, 5): 1, (1, 6): 1, (2, 4): 1, (3, 5): 8, (3, 6): 6, (5, 6): 6}",1527.000000010048
65,Graph with 7 nodes and 7 edges,"[[0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 0, 1], [0, 0, 1, 1, 0, 0, 1], [1, 0, 0, 0, 1, 1, 0]]",3.0,2.0,Y,"{0: 7, 1: 5, 2: 3, 3: 11, 4: 13, 5: 15, 6: 9}","{(0, 4): 3, (0, 6): 3, (1, 4): 5, (2, 5): 3, (3, 5): 11, (4, 6): 4, (5, 6): 1}",2529.0000000097734
534,Graph with 7 nodes and 11 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 1, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",3.0,6.0,Y,"{0: 27, 1: 9, 2: 21, 3: 15, 4: 33, 5: 3, 6: 39}","{(0, 3): 14, (0, 4): 9, (0, 5): 1, (0, 6): 2, (1, 4): 8, (1, 6): 1, (2, 5): 1, (2, 6): 20, (3, 6): 1, (4, 5): 1, (4, 6): 14}",2123.0000000116434
695,Graph with 7 nodes and 12 edges,"[[0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 1, 1], [1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0]]",3.0,5.0,Y,"{0: 8, 1: 3, 2: 23, 3: 33, 4: 18, 5: 13, 6: 28}","{(0, 3): 5, (0, 4): 1, (0, 5): 1, (0, 6): 1, (1, 4): 1, (1, 5): 1, (1, 6): 1, (2, 6): 23, (3, 4): 15, (3, 5): 11, (3, 6): 2, (4, 6): 1}",1542.999999969652
