index,graph_index,Graph,Adjacency_list,a,d,APG_label_availability,Vertex_labels,Edge_labels,Gurobi_runtime
6,7.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 0]]",2.0,2.0,Y,"{0: 8, 1: 6, 2: 4, 3: 2, 4: 10, 5: 12}","{(0, 4): 7, (0, 5): 1, (1, 4): 2, (1, 5): 4, (2, 5): 4, (3, 5): 2, (4, 5): 1}",290.00000000678483
31,10.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",2.0,4.0,Y,"{0: 18, 1: 10, 2: 6, 3: 2, 4: 22, 5: 14}","{(0, 4): 12, (0, 5): 6, (1, 4): 9, (1, 5): 1, (2, 4): 1, (2, 5): 5, (3, 5): 2}",1909.9999999525608
80,17.0,Graph with 6 nodes and 6 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 1], [1, 0, 0, 1, 1, 0]]",4.0,8.0,Y,"{0: 12, 1: 20, 2: 4, 3: 28, 4: 36, 5: 44}","{(0, 3): 4, (0, 5): 8, (1, 4): 20, (2, 4): 4, (3, 5): 24, (4, 5): 12}",2127.000000029966
84,20.0,Graph with 6 nodes and 6 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]]",2.0,3.0,Y,"{0: 8, 1: 17, 2: 2, 3: 5, 4: 14, 5: 11}","{(0, 3): 3, (0, 5): 4, (1, 4): 12, (1, 5): 5, (2, 4): 2, (3, 5): 1}",1785.9999999814136
87,20.0,Graph with 6 nodes and 6 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]]",2.0,6.0,Y,"{0: 14, 1: 32, 2: 2, 3: 8, 4: 26, 5: 20}","{(0, 3): 5, (0, 5): 9, (1, 4): 24, (1, 5): 8, (2, 4): 2, (3, 5): 3}",1242.9999999881147
93,20.0,Graph with 6 nodes and 6 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]]",3.0,3.0,Y,"{0: 3, 1: 6, 2: 15, 3: 9, 4: 18, 5: 12}","{(0, 3): 1, (0, 5): 1, (1, 4): 3, (1, 5): 3, (2, 4): 15, (3, 5): 7}",1697.9999999762185
99,20.0,Graph with 6 nodes and 6 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]]",3.0,9.0,Y,"{0: 21, 1: 48, 2: 3, 3: 12, 4: 39, 5: 30}","{(0, 3): 7, (0, 5): 13, (1, 4): 36, (1, 5): 12, (2, 4): 3, (3, 5): 4}",1719.0000000368855
106,20.0,Graph with 6 nodes and 6 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0]]",4.0,7.0,Y,"{0: 18, 1: 39, 2: 4, 3: 11, 4: 32, 5: 25}","{(0, 3): 7, (0, 5): 10, (1, 4): 28, (1, 5): 11, (2, 4): 4, (3, 5): 3}",1031.0000000117725
116,21.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",2.0,8.0,Y,"{0: 42, 1: 18, 2: 2, 3: 34, 4: 10, 5: 26}","{(0, 3): 33, (0, 5): 9, (1, 4): 5, (1, 5): 13, (2, 4): 2, (3, 5): 1, (4, 5): 3}",372.0000000271284
123,21.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",3.0,6.0,Y,"{0: 33, 1: 15, 2: 3, 3: 27, 4: 9, 5: 21}","{(0, 3): 26, (0, 5): 7, (1, 4): 4, (1, 5): 11, (2, 4): 3, (3, 5): 1, (4, 5): 2}",525.0000000387445
128,21.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 1], [1, 1, 0, 1, 1, 0]]",4.0,2.0,Y,"{0: 6, 1: 8, 2: 10, 3: 4, 4: 12, 5: 14}","{(0, 3): 2, (0, 5): 4, (1, 4): 1, (1, 5): 7, (2, 4): 10, (3, 5): 2, (4, 5): 1}",1327.0000000034088
139,24.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",2.0,4.0,Y,"{0: 10, 1: 14, 2: 2, 3: 18, 4: 6, 5: 22}","{(0, 3): 8, (0, 5): 2, (1, 4): 5, (1, 5): 9, (2, 4): 1, (2, 5): 1, (3, 5): 10}",1568.0000000202199
143,24.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",2.0,8.0,Y,"{0: 18, 1: 26, 2: 2, 3: 34, 4: 10, 5: 42}","{(0, 3): 14, (0, 5): 4, (1, 4): 9, (1, 5): 17, (2, 4): 1, (2, 5): 1, (3, 5): 20}",949.9999999889042
150,24.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",3.0,6.0,Y,"{0: 15, 1: 21, 2: 3, 3: 27, 4: 9, 5: 33}","{(0, 3): 12, (0, 5): 3, (1, 4): 8, (1, 5): 13, (2, 4): 1, (2, 5): 2, (3, 5): 15}",877.0000000026812
189,29.0,Graph with 6 nodes and 6 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 1, 0]]",4.0,9.0,Y,"{0: 13, 1: 22, 2: 40, 3: 4, 4: 31, 5: 49}","{(0, 3): 4, (0, 4): 4, (0, 5): 4, (1, 4): 22, (2, 5): 40, (4, 5): 4}",1238.9999999982138
191,32.0,Graph with 6 nodes and 7 edges,"[[0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0]]",2.0,2.0,Y,"{0: 12, 1: 6, 2: 2, 3: 10, 4: 4, 5: 8}","{(0, 3): 9, (0, 4): 1, (0, 5): 2, (1, 4): 3, (1, 5): 3, (2, 5): 2, (3, 5): 1}",533.0000000185464
